"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"201906041000","강동구","0.025","0.03","0.4","0.004","30","17"
"201906041100","강동구","0.024","0.033","0.4","0.006","25","12"
"201906041200","강동구","0.023","0.037","0.4","0.005","22","15"
"201906041300","강동구","0.016","0.047","0.3","0.005","25","10"
"201906041400","강동구","0.015","0.048","0.4","0.005","23","14"
"201906041500","강동구","0.015","0.042","0.3","0.004","23","16"
"201906041600","강동구","0.017","0.037","0.3","0.004","25","15"
"201906041700","강동구","0.017","0.033","0.3","0.004","28","12"
"201906041800","강동구","0.02","0.028","0.3","0.004","26","18"
"201906041900","강동구","0.026","0.022","0.3","0.004","31","20"
"201906042000","강동구","0.019","0.021","0.3","0.004","26","19"
"201906042100","강동구","0.031","0.013","0.4","0.004","28","16"
"201906042200","강동구","0.028","0.014","0.4","0.004","30","19"
"201906042300","강동구","0.029","0.013","0.4","0.003","22","16"
"201906050000","강동구","0.026","0.015","0.4","0.003","26","19"
"201906050100","강동구","0.02","0.019","0.5","0.003","31","23"
"201906050200","강동구","0.016","0.021","0.4","0.003","30","23"
"201906050300","강동구","0.015","0.019","0.4","0.003","30","23"
"201906050400","강동구","0.014","0.016","0.3","0.004","28","19"
"201906050500","강동구","0.016","0.014","0.4","0.004","31","20"
"201906050600","강동구","0.018","0.014","0.4","0.004","37","24"
"201906050700","강동구","0.019","0.014","0.4","0.004","41","25"
"201906050800","강동구","0.024","0.012","0.4","0.003","40","25"
"201906050900","강동구","0.022","0.017","0.6","0.004","39","24"
"201906051000","강동구","0.025","0.016","0.5","0.004","41","25"
"201906051100","강동구","0.027","0.02","0.5","0.003","43","26"
"201906051200","강동구","0.032","0.026","0.5","0.004","46","26"
"201906051300","강동구","0.039","0.031","0.5","0.004","48","28"
"201906051400","강동구","0.042","0.041","0.5","0.004","46","28"
"201906051500","강동구","0.039","0.057","0.5","0.004","51","34"
"201906051600","강동구","0.042","0.058","0.5","0.004","67","44"
"201906051700","강동구","0.039","0.053","0.7","0.005","72","50"
"201906051800","강동구","0.043","0.048","0.6","0.005","62","45"
"201906051900","강동구","0.048","0.042","0.5","0.005","56","40"
"201906052000","강동구","0.053","0.042","0.6","0.005","58","41"
"201906052100","강동구","0.052","0.034","0.7","0.005","64","47"
"201906052200","강동구","0.052","0.025","0.7","0.005","61","46"
"201906052300","강동구","0.053","0.018","0.6","0.004","52","41"
"201906060000","강동구","0.065","0.004","0.6","0.004","46","31"
"201906060100","강동구","0.06","0.003","0.7","0.005","36","24"
"201906060200","강동구","0.036","0.013","0.6","0.004","34","21"
"201906060300","강동구","0.023","0.017","0.4","0.004","35","21"
"201906060400","강동구","0.021","0.017","0.5","0.004","35","19"
"201906060500","강동구","0.03","0.01","0.5","0.004","42","19"
"201906060600","강동구","0.043","0.004","0.6","0.004","36","21"
"201906060700","강동구","0.046","0.005","0.7","0.004","42","25"
"201906060800","강동구","0.046","0.006","0.7","0.004","44","28"
"201906060900","강동구","0.045","0.009","0.7","0.005","58","33"
"201906061000","강동구","0.049","0.014","0.7","0.004","61","35"
"201906061100","강동구","0.049","0.018","0.6","0.005","66","40"
"201906061200","강동구","0.048","0.021","0.6","0.004","71","41"
"201906061300","강동구","0.039","0.025","0.6","0.004","66","38"
"201906061400","강동구","0.026","0.032","0.5","0.005","59","38"
"201906061500","강동구","0.024","0.036","0.6","0.005","62","41"
"201906061600","강동구","0.028","0.035","0.6","0.004","60","43"
"201906061700","강동구","0.044","0.022","0.6","0.003","69","47"
"201906061800","강동구","0.037","0.021","0.6","0.003","71","47"
"201906061900","강동구","0.025","0.029","0.6","0.004","63","47"
"201906062000","강동구","0.015","0.037","0.5","0.003","53","40"
"201906062100","강동구","0.011","0.04","0.4","0.003","44","34"
"201906062200","강동구","0.015","0.03","0.4","0.003","39","28"
"201906062300","강동구","0.011","0.032","0.4","0.003","35","26"
"201906070000","강동구","0.009","0.034","0.4","0.004","27","22"
"201906070100","강동구","0.007","0.04","0.3","0.003","22","18"
"201906070200","강동구","0.006","0.04","0.3","0.004","25","18"
"201906070300","강동구","0.004","0.04","0.3","0.004","20","18"
"201906070400","강동구","0.005","0.043","0.3","0.003","15","11"
"201906070500","강동구","0.005","0.043","0.3","0.003","14","9"
"201906070600","강동구","0.008","0.042","0.3","0.003","8","5"
"201906070700","강동구","0.008","0.045","0.3","0.003","5","5"
"201906070800","강동구","0.011","0.043","0.3","0.003","4","3"
"201906070900","강동구","0.012","0.041","0.3","0.003","6","6"
"201906071000","강동구","0.013","0.041","0.3","0.003","6","3"
"201906071100","강동구","0.015","0.038","0.3","0.003","6","5"
"201906071200","강동구","0.012","0.04","0.3","0.003","6","3"
"201906071300","강동구","0.013","0.038","0.3","0.003","5","3"
"201906071400","강동구","0.011","0.039","0.3","0.003","5","2"
"201906071500","강동구","0.008","0.044","0.3","0.003","5","4"
"201906071600","강동구","0.009","0.044","0.3","0.003","5","1"
"201906071700","강동구","0.007","0.045","0.3","0.003","5","3"
"201906071800","강동구","0.008","0.043","0.3","0.004","9","2"
"201906071900","강동구","0.009","0.044","0.3","0.003","10","2"
"201906072000","강동구","0.012","0.043","0.3","0.003","13","7"
"201906072100","강동구","0.014","0.041","0.4","0.003","13","9"
"201906072200","강동구","0.02","0.034","0.4","0.004","13","8"
"201906072300","강동구","0.016","0.033","0.3","0.003","14","11"
"201906080000","강동구","0.017","0.029","0.3","0.004","16","10"
"201906080100","강동구","0.024","0.023","0.4","0.003","16","11"
"201906080200","강동구","0.019","0.024","0.4","0.003","17","10"
"201906080300","강동구","0.013","0.026","0.3","0.003","18","11"
"201906080400","강동구","0.017","0.02","0.4","0.003","18","12"
"201906080500","강동구","0.016","0.02","0.3","0.003","18","11"
"201906080600","강동구","0.021","0.017","0.4","0.003","17","11"
"201906080700","강동구","0.029","0.013","0.3","0.003","22","12"
"201906080800","강동구","0.02","0.023","0.3","0.003","14","8"
"201906080900","강동구","0.016","0.029","0.3","0.003","21","11"
"201906081000","강동구","0.012","0.034","0.3","0.003","22","10"
"201906081100","강동구","0.012","0.038","0.3","0.004","23","10"
"201906081200","강동구","0.014","0.038","0.3","0.003","39","13"
"201906081300","강동구","0.014","0.042","0.3","0.003","24","9"
"201906081400","강동구","0.013","0.048","0.3","0.004","26","12"
"201906081500","강동구","0.014","0.051","0.3","0.004","22","10"
"201906081600","강동구","0.013","0.054","0.3","0.004","20","12"
"201906081700","강동구","0.033","0.051","0.4","0.004","33","18"
"201906081800","강동구","0.029","0.057","0.4","0.004","42","26"
"201906081900","강동구","0.028","0.054","0.5","0.004","36","22"
"201906082000","강동구","0.025","0.048","0.5","0.005","31","24"
"201906082100","강동구","0.022","0.042","0.5","0.005","20","14"
"201906082200","강동구","0.024","0.038","0.5","0.005","21","16"
"201906082300","강동구","0.039","0.025","0.6","0.004","25","17"
"201906090000","강동구","0.051","0.013","0.6","0.004","36","22"
"201906090100","강동구","0.045","0.015","0.5","0.004","46","27"
"201906090200","강동구","0.043","0.014","0.6","0.003","37","27"
"201906090300","강동구","0.023","0.026","0.5","0.003","42","29"
"201906090400","강동구","0.019","0.026","0.5","0.004","42","31"
"201906090500","강동구","0.027","0.013","0.5","0.004","37","24"
"201906090600","강동구","0.028","0.012","0.6","0.003","40","30"
"201906090700","강동구","0.023","0.011","0.5","0.004","43","29"
"201906090800","강동구","0.027","0.014","0.6","0.005","38","29"
"201906090900","강동구","0.026","0.021","0.6","0.004","44","34"
"201906091000","강동구","0.022","0.035","0.6","0.005","43","33"
"201906091100","강동구","0.019","0.045","0.5","0.005","45","34"
"201906091200","강동구","0.015","0.057","0.5","0.006","38","32"
"201906091300","강동구","0.015","0.063","0.5","0.005","36","26"
"201906091400","강동구","0.015","0.068","0.5","0.005","34","30"
"201906091500","강동구","0.018","0.065","0.5","0.004","39","29"
"201906091600","강동구","0.019","0.066","0.5","0.005","40","34"
"201906091700","강동구","0.018","0.054","0.4","0.005","36","30"
"201906091800","강동구","0.019","0.05","0.4","0.005","31","26"
"201906091900","강동구","0.017","0.049","0.4","0.004","32","29"
"201906022000","강북구","0.01","0.062","0.3","0.002","32","15"
"201906022100","강북구","0.015","0.054","0.4","0.002","33","17"
"201906022200","강북구","0.011","0.052","0.4","0.002","33","18"
"201906022300","강북구","0.012","0.052","0.4","0.002","30","17"
